hour_bucket,total_transactions,fraud_count,fraud_rate_pct,rolling_6h_avg_fraud_rate_pct
0,379,2,0.5277,0.5277
1,394,2,0.5076,0.5176
2,368,3,0.8152,0.6168
3,381,1,0.2625,0.5282
4,383,6,1.5666,0.7359
5,765,0,0.0,0.6133
6,1202,7,0.5824,0.6224
7,1857,5,0.2693,0.5827
8,2646,6,0.2268,0.4846
9,3054,1,0.0327,0.4463
10,3319,11,0.3314,0.2404
11,3498,8,0.2287,0.2786
12,3623,9,0.2484,0.2229
13,3637,10,0.275,0.2238
14,3388,8,0.2361,0.2254
15,3373,5,0.1482,0.2446
16,3455,0,0.0,0.1894
17,3059,0,0.0,0.1513
18,2938,1,0.034,0.1155
19,2516,1,0.0397,0.0763
20,2250,1,0.0444,0.0444
21,1468,1,0.0681,0.031
22,1086,0,0.0,0.031
23,741,0,0.0,0.031
24,362,2,0.5525,0.1174
25,360,3,0.8333,0.2497
26,398,1,0.2513,0.2842
27,344,6,1.7442,0.5635
28,363,7,1.9284,0.885
29,771,5,0.6485,0.993
30,1130,6,0.531,0.9895
31,1924,8,0.4158,0.9199
32,2571,3,0.1167,0.8974
33,3000,4,0.1333,0.629
34,3443,5,0.1452,0.3317
35,3376,6,0.1777,0.2533
36,3798,6,0.158,0.1911
37,3807,6,0.1576,0.1481
38,3432,4,0.1166,0.1481
39,3393,7,0.2063,0.1602
40,3372,1,0.0297,0.141
41,2919,2,0.0685,0.1228
42,3138,1,0.0319,0.1018
43,2743,0,0.0,0.0755
44,2251,0,0.0,0.0561
45,1498,1,0.0668,0.0328
46,1082,0,0.0,0.0279
47,745,0,0.0,0.0164
